"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
9,932824862E1	6,027987932E1	2,495691244E1	-1,037997482E1	8,834375970E0	1,624865413E0	1,565958017E2	2,037194076E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,003282387E2	6,027985987E1	2,495691774E1	-1,040770163E1	8,806618868E0	1,624865413E0	1,560815568E2	2,050565997E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,013282293E2	6,027984784E1	2,495691777E1	-1,030205248E1	8,912255229E0	1,433060527E0	1,578926634E2	2,065088900E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,023282193E2	6,027983746E1	2,495693374E1	-1,012556708E1	9,088700431E0	1,229628563E0	1,577491885E2	2,079437236E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,033282095E2	6,027982502E1	2,495694068E1	-9,965298411E0	9,248943248E0	1,233971238E0	1,541965066E2	2,092592132E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,043282003E2	6,027981412E1	2,495694997E1	-9,972102849E0	9,242110273E0	1,233971238E0	1,521338167E2	2,108917636E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,053281907E2	6,027980204E1	2,495696680E1	-1,015903087E1	9,055138684E0	1,434992552E0	1,573530921E2	2,126120403E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,063281811E2	6,027978847E1	2,495698179E1	-1,026164089E1	8,952486894E0	1,487853765E0	1,571461920E2	2,138905922E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,073281721E2	6,027978403E1	2,495700318E1	-1,018421562E1	9,029868342E0	1,587480426E0	1,521233666E2	2,149435378E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,083281614E2	6,027977680E1	2,495701553E1	-1,013222676E1	9,081826973E0	1,596480727E0	1,538071038E2	2,166566036E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,093281531E2	6,027976277E1	2,495702834E1	-1,007489411E1	9,139121336E0	1,596480727E0	1,546761907E2	2,186485058E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,103281437E2	6,027974641E1	2,495704308E1	-9,876182369E0	9,337788808E0	1,631214976E0	1,578160697E2	2,204069889E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,113281331E2	6,027973091E1	2,495704943E1	-9,598850666E0	9,615092492E0	1,631214976E0	1,586977651E2	2,222292061E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,123281243E2	6,027971550E1	2,495706067E1	-9,301380198E0	9,912526081E0	1,244988322E0	1,558391124E2	2,239834885E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,133281143E2	6,027970384E1	2,495708209E1	-8,997535742E0	1,021631902E1	1,261772037E0	1,540786858E2	2,250701593E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,143281047E2	6,027969441E1	2,495708733E1	-8,799441048E0	1,041439416E1	1,261772037E0	1,568779842E2	2,259651557E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,153280958E2	6,027968642E1	2,495708915E1	-8,532328616E0	1,068149479E1	1,387614608E0	1,564745795E2	2,274574813E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,163280863E2	6,027967314E1	2,495709307E1	-8,526344259E0	1,068745792E1	1,387614608E0	1,547972900E2	2,291671308E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,173280767E2	6,027965862E1	2,495710329E1	-8,372947106E0	1,084082103E1	1,359064460E0	1,496868605E2	2,303740448E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,183280667E2	6,027965145E1	2,495711972E1	-8,283226999E0	1,093050349E1	1,469914556E0	1,481258617E2	2,322891915E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,193280575E2	6,027963658E1	2,495713726E1	-8,172420470E0	1,104126221E1	1,469914556E0	1,480083961E2	2,337767305E-1	6,000906205E0	6,000906205E0	0,000000000E0
1,203280476E2	6,027962516E1	2,495715132E1	-7,643874892E0	1,156976998E1	1,488941193E0	1,485685536E2	2,355255557E-1	6,000906205E0	6,000906205E0	0,000000000E0
